	MR	ARI_o	ARI_r	Time
0	0.0	0.8377187005844652	0.8269421391923887	0.18742
1	0.0	0.7649773106854418	0.7489393581402163	0.12957
2	0.0	0.7987137969515052	0.7846635711023644	0.29117
3	0.0	0.7849824889203287	0.77317052108435	0.26
4	0.0	0.8264119535444467	0.8157217824013042	0.20633
5	0.0	0.8495949115330346	0.8411771508792981	0.23363
6	0.0	0.8162063733167885	0.801690546883925	0.18974
7	0.0	0.8052088851038259	0.789973522811174	0.22857
8	0.0	0.8257471484526985	0.8148903394145591	0.21086
9	0.0	0.8506889763973944	0.8380438254688326	0.24024
10	0.0	0.8107227386018818	0.8000271349450011	0.2521
11	0.0	0.8197075382159065	0.8109875292261712	0.21792
12	0.0	0.8208028760095712	0.8092675949978249	0.28897
13	0.0	0.8132167875184456	0.8030569698334434	0.22421
14	0.0	0.8108190594343248	0.7991006668832537	0.20936
15	0.0	0.8333521822896285	0.820708955396851	0.27713
16	0.0	0.8361675397967667	0.8227579474817823	0.20454
17	0.0	0.8189701508063402	0.80832654809174	0.20686
18	0.0	0.8501728566046719	0.8383334147335939	0.21438
19	0.0	0.7811672862621091	0.7690985317003668	0.20383
20	0.0	0.8036093816346613	0.7919613204438468	0.1891
21	0.0	0.8184316782492528	0.8071976389076609	0.17808
22	0.0	0.8255311424930879	0.8130359563622551	0.26992
23	0.0	0.8222437660050802	0.8117506169059381	0.20443
24	0.0	0.8026932622231319	0.7867023312195698	0.19992
25	0.0	0.8203611736732648	0.8100627403012669	0.20526
26	0.0	0.8264424958944513	0.8178269498775829	0.15727
27	0.0	0.824015494886303	0.8117243809612203	0.26797
28	0.0	0.8128527370497857	0.7989812843166832	0.15536
29	0.0	0.8743795802748894	0.8636963240633212	0.21611
30	0.0	0.8050373569745056	0.7933476674926088	0.17156
31	0.0	0.8314040544814958	0.8199096113782769	0.18716
32	0.0	0.8009945207586165	0.7906591292614022	0.19496
33	0.0	0.8271651615466415	0.817659100540468	0.18099
34	0.0	0.837517756674541	0.8260322267284089	0.18869
35	0.0	0.832026190434108	0.8190324373540623	0.20287
36	0.0	0.8447057696475175	0.8365297621653112	0.17492
37	0.0	0.7887936595607826	0.7722312117481197	0.20152
38	0.0	0.8087642485014571	0.7973039809024441	0.17723
39	0.0	0.807716547385856	0.7957493789406277	0.19581
40	0.0	0.8366694663766203	0.8232700597248056	0.17837
41	0.0	0.8294884452418774	0.8166929912205062	0.2054
42	0.0	0.8139087580868439	0.8022092521228705	0.19793
43	0.0	0.8361349800259185	0.8268127124651702	0.16861
44	0.0	0.8266501024698164	0.8152292519686222	0.18468
45	0.0	0.8135637801330349	0.8049931447522665	0.17858
46	0.0	0.810457955318958	0.801801424848156	0.20638
47	0.0	0.8304117466978963	0.818964005304483	0.18743
48	0.0	0.816329688338672	0.8029919572828594	0.12792
49	0.0	0.8314868951412677	0.8195315004876781	0.10414
50	0.0	0.8240403589696562	0.8133587535977352	0.09558
51	0.0	0.8440009316673902	0.8331917488791357	0.13461
52	0.0	0.8084860701660023	0.7959655573697751	0.14736
53	0.0	0.8506146325439607	0.8419188405162253	0.11039
54	0.0	0.8315671239678896	0.8224978281380868	0.12015
55	0.0	0.8745872586615451	0.8617641293479105	0.09156
56	0.0	0.7565908172551536	0.7418705061062807	0.07641
57	0.0	0.8319082133621014	0.8199818384720704	0.09024
58	0.0	0.8432894372135145	0.8315220446594649	0.09211
59	0.0	0.8392435643826291	0.825278563361466	0.076
60	0.0	0.8255424286106294	0.8102671574119815	0.13692
61	0.0	0.7823287539243865	0.7722957375521751	0.11908
62	0.0	0.806354425174122	0.7936403406625039	0.10977
63	0.0	0.8228260590306032	0.8073647629464772	0.10011
64	0.0	0.7987318697958076	0.7861757379939994	0.15524
65	0.0	0.8376539234705401	0.8284441473398128	0.1715
66	0.0	0.8336692461261392	0.8150585866978509	0.16166
67	0.0	0.816926746798467	0.8038839249426499	0.1337
68	0.0	0.8321123543082403	0.8207400473967035	0.10534
69	0.0	0.8266625869667568	0.8169668216593312	0.13118
70	0.0	0.8052406108704384	0.7955296180554569	0.09604
71	0.0	0.831532561363591	0.8186199656308821	0.08687
72	0.0	0.8183491181289295	0.8086233793253732	0.09285
73	0.0	0.8022424562419973	0.7918769608076605	0.09986
74	0.0	0.809695703272477	0.7983031419510103	0.09849
75	0.0	0.8264222742974973	0.8144977675057468	0.14126
76	0.0	0.8258826571559409	0.8127273502782232	0.14093
