	MR	ARI_o	ARI_r	Time
0	0.0	0.8397533518497117	0.831729315684826	0.15786
1	0.0	0.8328459988470259	0.821400681702766	0.15358
2	0.0	0.8317201920147804	0.8254900001517094	0.14929
3	0.0	0.8791838179663469	0.8645213176479885	0.16069
4	0.0	0.8639464657493197	0.854722851338644	0.14746
5	0.0	0.8442382246305452	0.8340402733863229	0.14614
6	0.0	0.8436738592052017	0.8322461491117327	0.15393
7	0.0	0.8124633791329824	0.8017087608471414	0.14889
8	0.0	0.8510134224735489	0.8411918045635973	0.15858
9	0.0	0.856305526869007	0.8468234184848703	0.18774
10	0.0	0.8531640751242691	0.8418443742950903	0.16137
11	0.0	0.8188409658455938	0.8083904055525573	0.14961
12	0.0	0.8574383459189182	0.8495799915055775	0.16402
13	0.0	0.8356144263892191	0.8236403063513782	0.14382
14	0.0	0.8374572808820993	0.823819142746651	0.18168
15	0.0	0.8441224394195534	0.8331930635428114	0.20684
16	0.0	0.8328882492865248	0.8193270487953108	0.15291
17	0.0	0.8658287850716722	0.8554456459082664	0.18487
18	0.0	0.8527566606623439	0.8420163093763107	0.17925
19	0.0	0.8328632359229806	0.8192665994227145	0.19832
20	0.0	0.8260116599294237	0.8160832477242567	0.16717
21	0.0	0.8289472168901341	0.8159521351889316	0.15704
22	0.0	0.8457359331704567	0.8371866341773484	0.15088
23	0.0	0.8258181522015321	0.8173902960040024	0.16441
24	0.0	0.8440980792741877	0.8309174270787966	0.16876
25	0.0	0.8052038542457793	0.7929942004995947	0.16129
26	0.0	0.8262713083802293	0.8159860896227236	0.15316
27	0.0	0.849136602995677	0.8376650956342565	0.14992
28	0.0	0.8180266678618822	0.8069364053418557	0.14908
29	0.0	0.8058822161188571	0.794149104427084	0.15071
30	0.0	0.8673844045711842	0.8591356014068232	0.18569
31	0.0	0.8635863196676041	0.8523747319740461	0.15516
32	0.0	0.8456048915723435	0.8319024995084534	0.15536
33	0.0	0.8049820202632002	0.791852352210835	0.1554
34	0.0	0.8540089277909219	0.8441164302093512	0.15815
35	0.0	0.8257681576474057	0.8133284822621961	0.15286
36	0.0	0.841841364463705	0.8321278579262542	0.1495
37	0.0	0.8248455071305482	0.8109936041161476	0.15619
38	0.0	0.8675692945011776	0.8556139132408876	0.19055
39	0.0	0.8540179379877123	0.8419657191892879	0.14675
40	0.0	0.8319650611405494	0.8208278441087895	0.15012
41	0.0	0.8361807437145141	0.8264194167401477	0.1574
42	0.0	0.8321723483757747	0.8237058126743831	0.15669
43	0.0	0.8390969187847235	0.826636311923852	0.1508
44	0.0	0.865614762073882	0.8534412690072724	0.15595
45	0.0	0.826726081214206	0.8159326574246619	0.14773
46	0.0	0.8470540213026214	0.836550000919037	0.15519
47	0.0	0.8044273130665581	0.7957716732063901	0.15127
48	0.0	0.8819761536050048	0.8705270994757021	0.17266
49	0.0	0.8761328143258361	0.8647011142729277	0.15307
50	0.0	0.8434129259480531	0.8324689233134137	0.21664
51	0.0	0.8722946932683889	0.8600729427699638	0.15877
52	0.0	0.8432449370794401	0.8303077647299005	0.15083
53	0.0	0.8193120990019188	0.8040205715941758	0.15852
54	0.0	0.780381090182129	0.7679057967326166	0.15927
55	0.0	0.8066415825677485	0.7921122274998245	0.14884
56	0.0	0.8514474832263413	0.8399271484844121	0.15142
57	0.0	0.8366107946983046	0.8225485653168291	0.15118
58	0.0	0.8349227744305056	0.8226359103172326	0.17294
59	0.0	0.8395195856890946	0.8269966519189705	0.19094
60	0.0	0.8414260164414878	0.827287275896369	0.15304
61	0.0	0.8564503805647804	0.8400278657023558	0.15472
62	0.0	0.8332843503912535	0.8253955336273171	0.15291
63	0.0	0.8504797582758027	0.8368373703303049	0.21477
64	0.0	0.8570186330655465	0.8448610016979029	0.14843
65	0.0	0.8357785334309318	0.8244346688411833	0.19666
66	0.0	0.8258648573297391	0.8132553443726246	0.20663
67	0.0	0.8330327187157757	0.8277096172948554	0.16885
68	0.0	0.8276867156112574	0.813785465380768	0.1525
69	0.0	0.8306485608609725	0.8192907301211957	0.14679
70	0.0	0.8353023356830309	0.8271144860642207	0.16284
71	0.0	0.8641260389770608	0.8554897174356408	0.15107
72	0.0	0.8518940139182803	0.8434738629598727	0.1525
73	0.0	0.8495441111225214	0.837786873769905	0.15411
74	0.0	0.8411340092012146	0.831954057632857	0.15488
75	0.0	0.8241914637007114	0.8118042451241066	0.14963
76	0.0	0.8254781368160661	0.8146668668505898	0.18562
77	0.0	0.8442880421283591	0.8349091349263997	0.15783
78	0.0	0.8540710284664471	0.8461349875518502	0.17994
79	0.0	0.8527927425033038	0.8386053463101246	0.19196
80	0.0	0.8696422596437045	0.8583418448404496	0.15245
81	0.0	0.8543589765568665	0.841167165054951	0.22616
82	0.0	0.8466374924070084	0.8388908625604063	0.14758
83	0.0	0.8729941452318987	0.8645367346365893	0.23412
84	0.0	0.8700064232578264	0.861150557748289	0.15661
